customer_id,age,gender,region,plan,tenure_months,support_tickets,monthly_spend,churned
98,51,M,APAC,free,3,2,,1
99,59,F,LATAM,pro,19,1,92.74,0
100,63,M,EMEA,free,14,3,15.32,1
101,22,F,EMEA,free,7,0,20.94,1
102,26,M,LATAM,pro,9,0,78.38,0
103,21,M,NA,free,17,0,11.28,1
104,40,M,APAC,free,7,2,15.87,1
105,23,F,APAC,pro,27,1,57.73,1
106,37,M,EMEA,pro,25,2,70.07,0
107,26,M,EMEA,pro,38,0,120.49,0
108,20,M,NA,free,13,0,,1
109,56,F,APAC,free,2,0,24.4,1
110,27,M,EMEA,free,9,2,26.8,1
111,37,M,NA,free,9,2,14.01,1
112,34,F,NA,free,39,2,10.59,1
113,22,M,APAC,pro,42,1,81.75,0
114,29,F,NA,pro,6,2,86.15,1
115,39,M,EMEA,pro,46,2,99.52,1
116,53,F,NA,free,33,1,6.2,1
117,26,M,LATAM,free,25,2,13.93,1
118,23,F,APAC,pro,22,1,97.48,1
119,53,F,EMEA,free,11,4,20.64,1
120,60,M,EMEA,free,33,2,9.99,1
121,43,M,EMEA,free,46,4,14.88,1
122,62,F,NA,free,19,0,11.2,1
123,22,F,EMEA,pro,39,0,92.25,0
124,27,M,EMEA,pro,26,1,92.74,1
125,47,M,EMEA,free,11,1,16.64,1
126,67,F,LATAM,free,20,1,15.72,1
127,41,M,NA,pro,24,2,62.62,1
128,36,M,EMEA,pro,7,2,108.23,0
129,27,F,NA,free,17,0,24.64,1
130,38,F,APAC,free,9,3,23.39,1
131,25,F,LATAM,pro,14,1,98.55,0
132,49,F,EMEA,pro,8,0,114.84,1
133,50,M,NA,free,41,2,13.39,1
134,54,F,EMEA,free,18,3,9.81,1
135,60,M,APAC,pro,3,1,47.16,1
136,25,F,NA,pro,1,1,48.22,0
137,67,M,LATAM,free,6,3,22.71,0
138,28,M,APAC,pro,10,2,76.97,0
139,37,F,NA,pro,37,4,75.08,0
140,19,M,EMEA,free,16,1,19.58,1
141,68,F,APAC,free,34,0,14.03,1
142,49,M,LATAM,free,46,1,17.1,1
143,47,F,NA,free,47,0,14.15,1
144,40,F,NA,pro,45,3,93.09,0
145,64,M,EMEA,free,45,1,14.1,0
146,25,M,EMEA,free,16,2,,1
147,66,F,NA,free,19,2,,1
148,24,F,LATAM,free,1,2,17.43,1
149,63,M,NA,free,8,1,9.17,1
150,18,M,APAC,free,16,0,12.74,0
151,57,M,APAC,free,3,1,28.2,1
152,45,M,NA,pro,42,1,36.26,0
153,42,M,NA,free,2,2,19.45,1
154,43,F,EMEA,free,21,4,9.14,1
155,28,M,NA,free,15,3,,1
156,43,F,NA,free,39,1,15.06,1
157,29,M,APAC,pro,14,3,92.78,1
158,60,M,EMEA,pro,32,2,67.04,0
159,34,F,NA,free,30,1,21.02,1
160,55,M,LATAM,free,27,1,,0
161,66,F,EMEA,pro,44,0,83.86,0
162,35,M,NA,pro,46,1,75.28,0
163,46,F,EMEA,free,4,2,,1
164,25,M,EMEA,pro,8,4,96.5,0
165,62,M,APAC,pro,14,2,95.07,0
166,26,F,APAC,pro,19,3,56.4,0
167,69,M,NA,pro,23,0,78.24,0
168,50,F,EMEA,free,35,0,10.41,0
169,53,M,LATAM,free,39,2,25.83,1
170,54,M,NA,free,6,0,17.94,1
171,60,M,NA,free,21,1,6.85,0
172,18,M,EMEA,pro,40,2,104.67,1
173,48,F,LATAM,free,4,1,,1
174,22,F,NA,pro,14,2,89.75,1
175,68,M,EMEA,free,15,2,12.67,1
176,37,M,NA,free,20,0,16.58,1
177,47,F,NA,free,40,0,24.81,1
178,23,F,NA,free,44,1,12.16,0
179,21,F,EMEA,free,46,1,10.15,1
180,49,F,APAC,free,39,1,16.86,0
181,46,M,EMEA,free,30,3,19.11,0
182,33,M,APAC,pro,17,0,104.53,0
183,32,M,LATAM,free,8,2,23.64,1
184,42,M,NA,free,35,0,,0
185,20,M,APAC,free,16,0,23.65,1
186,58,M,NA,free,33,1,12.92,0
187,24,F,NA,free,42,0,,0
188,31,F,NA,pro,21,1,103.27,0
189,26,M,EMEA,pro,12,1,64.24,0
190,36,M,APAC,free,40,2,16.16,1
191,37,M,NA,free,33,1,12.17,1
192,30,M,APAC,free,35,1,14.44,0
193,32,F,APAC,free,18,1,8.51,1
194,31,F,EMEA,free,5,2,18.39,1
195,64,M,NA,free,10,2,9.34,0
196,59,F,NA,pro,47,2,111.78,0
197,48,M,LATAM,free,42,0,18.65,1
198,52,F,NA,pro,15,1,80.35,0
199,61,F,EMEA,free,13,3,17.04,0
200,49,M,EMEA,pro,1,0,67.97,1
201,44,F,APAC,free,33,1,13.45,0
202,50,M,NA,pro,39,1,102.45,0
203,31,F,APAC,pro,11,3,53.64,0
204,32,M,LATAM,pro,39,0,88.11,0
205,65,F,APAC,free,38,1,14.76,0
206,50,F,NA,pro,28,0,99.33,0
207,50,F,NA,pro,11,0,83.1,1
208,54,F,EMEA,pro,34,3,62.47,0
209,18,M,APAC,free,28,2,,1
210,24,F,EMEA,pro,14,2,117.26,1
211,28,F,NA,pro,41,2,43.8,0
212,57,M,EMEA,free,10,3,14.24,0
213,61,M,NA,free,38,3,12.27,1
214,38,F,APAC,free,26,1,,0
215,38,M,APAC,pro,31,1,51.94,0
216,34,F,NA,pro,22,1,52.17,0
217,57,F,LATAM,pro,31,1,64.92,0
218,26,M,EMEA,pro,27,0,101.15,0
219,69,M,NA,free,25,1,15.98,0
220,36,F, emea ,free,44,4,,0
221,26,M,NA,free,24,1,,1
222,52,F,APAC,free,17,2,25.64,1
223,48,F,APAC,free,6,2,13.76,1
224,47,M,LATAM,pro,47,2,59.46,1
225,37,F,NA,free,16,0,13.26,0
226,22,F,APAC,free,33,0,24.32,1
227,21,F,EMEA,free,13,3,16.67,1
228,62,F,LATAM,pro,42,1,75.19,0
229,58,M,APAC,pro,10,1,95.0,0
230,69,M,EMEA,pro,21,2,86.6,0
231,57,F,EMEA,free,39,1,,1
232,36,F,LATAM,pro,2,1,63.38,0
233,61,M,NA,free,44,2,23.04,0
234,60,F,NA,pro,11,1,79.27,0
235,31,F,EMEA,free,14,0,17.01,1
236,29,F,NA,free,2,2,17.36,1
237,37,F,EMEA,free,13,3,26.13,1
238,63,F,EMEA,pro,11,1,59.96,0
239,42,M,EMEA,free,11,1,7.78,1
240,62,F,NA,pro,11,2,67.48,0
241,46,F,APAC,free,45,2,20.06,1
242,47,M,NA,pro,40,7,97.47,1
243,26,M,NA,pro,42,0,84.64,1
244,48,M,APAC,free,42,0,25.88,0
245,23,F,NA,pro,4,0,108.78,0
246,54,F,NA,free,44,2,16.3,0
247,36,M,NA,pro,10,1,100.65,0
248,28,F,NA,free,25,1,18.02,0
249,55,M,EMEA,free,38,2,21.51,1
250,57,M,NA,pro,15,1,67.61,1
251,55,F,APAC,free,35,0,6.06,1
252,27,F,EMEA,free,32,0,19.65,1
253,22,M,APAC,free,11,2,15.63,1
254,64,F,LATAM,free,35,0,27.97,0
255,40,M,LATAM,pro,47,1,62.1,0
256,19,M,EMEA,free,17,4,4.84,0
257,35,M,APAC,pro,8,3,73.71,1
258,65,M,NA,free,36,0,6.93,1
259,46,F,NA,free,21,2,11.75,1
260,60,F,EMEA,pro,36,0,100.69,0
261,66,M,NA,free,23,2,,1
262,41,F,EMEA,free,1,1,12.41,1
263,55,F,EMEA,pro,23,3,83.05,0
264,36,F,EMEA,free,19,2,1.22,1
265,46,M,EMEA,free,29,0,17.88,1
266,51,M,NA,pro,18,0,79.78,0
267,47,F,APAC,free,16,0,6.0,0
268,32,F,NA,pro,32,3,73.36,0
269,33,M,NA,pro,36,1,113.36,0
270,50,F,NA,free,28,4,,1
271,27,M,EMEA,free,18,1,8.52,0
272,52,M,NA,free,10,1,18.67,0
273,60,F,EMEA,pro,3,2,84.92,1
274,46,F,NA,free,10,1,10.23,1
275,21,M,NA,free,3,0,15.09,1
276,45,F,EMEA,free,29,2,6.94,1
277,30,M,APAC,pro,7,3,88.87,0
278,22,F,NA,free,41,2,,1
279,23,M,EMEA,pro,35,3,62.98,0
280,52,M,NA,free,2,4,13.88,1
281,25,F,LATAM,pro,29,5,82.64,0
282,66,F,NA,free,45,3,6.57,1
283,30,F,EMEA,free,25,0,13.42,1
284,34,F,EMEA,pro,34,0,57.53,0
285,36,F,NA,free,44,1,23.49,0
286,32,M,APAC,pro,23,1,86.19,1
287,64,F,LATAM,free,2,4,,1
288,49,F,NA,free,30,1,2.64,1
289,36,F,NA,free,43,2,20.8,1
290,40,M,NA,free,7,1,7.75,1
291,48,M,NA,free,35,0,8.18,0
292,37,F,NA,free,35,1,7.53,1
293,36,M,NA,free,39,1,22.32,1
294,62,F,EMEA,pro,31,1,97.0,0
295,24,F,NA,free,46,2,20.38,0
296,57,F,NA,free,26,2,15.56,1
297,50,F,EMEA,free,24,2,2.55,1
298,48,M,EMEA,free,38,5,14.56,0
299,60,M,EMEA,pro,40,2,110.61,1
300,57,F,NA,pro,35,2,81.12,0
301,36,F,EMEA,free,9,1,21.77,1
302,31,M,EMEA,free,9,3,,1
303,52,F,LATAM,pro,36,1,63.48,0
304,57,F,EMEA,free,12,3,13.83,0
305,18,F,LATAM,free,44,4,22.36,1
306,58,F,EMEA,free,11,2,10.24,0
307,55,M,APAC,pro,22,2,115.57,0
308,45,M,APAC,pro,26,2,70.11,0
309,48,M,NA,pro,41,0,69.12,0
310,45,M,NA,free,46,1,6.36,1
311,69,F,NA,pro,10,1,66.91,0
312,19,M,NA,pro,33,2,82.48,0
313,40,F,NA,pro,12,2,69.66,0
314,20,F,APAC,pro,43,2,126.23,0
315,52,F,EMEA,free,39,1,23.69,1
316,66,M, emea ,free,33,1,,1
317,31,M,APAC,free,41,1,19.09,0
318,55,M,APAC,free,11,1,19.74,1
319,30,M,APAC,pro,32,2,95.18,0
320,36,F,APAC,free,10,0,12.98,0
321,37,F,NA,pro,11,2,68.28,0
322,24,M,NA,free,5,3,6.08,1
323,60,F,EMEA,pro,23,1,111.22,0
324,22,M,NA,free,21,0,11.97,0
325,52,F,NA,free,42,1,11.48,1
326,40,F,NA,free,18,1,6.94,1
327,38,M,EMEA,free,25,1,25.16,0
328,44,M,LATAM,pro,20,5,98.87,0
329,42,F,EMEA,free,30,0,12.44,0
330,60,F,APAC,pro,41,0,54.16,0
331,38,F,NA,free,42,3,18.67,0
332,69,F,NA,free,13,3,16.77,1
333,61,F,EMEA,pro,24,1,108.59,0
334,46,F,EMEA,free,45,1,13.5,0
335,21,M,NA,pro,35,0,104.52,1
336,52,F,LATAM,free,41,3,18.15,0
337,39,F,NA,pro,41,0,80.34,0
338,65,F,EMEA,free,23,0,7.91,0
339,53,F,EMEA,free,7,3,0.32,1
340,55,M,LATAM,pro,29,1,99.88,0
341,27,F,NA,free,22,4,22.71,1
342,26,M,EMEA,pro,3,0,71.67,1
343,65,F,APAC,pro,19,3,97.19,1
344,41,F,APAC,free,5,3,27.71,1
345,42,F,NA,pro,24,3,126.08,0
346,68,M,NA,pro,9,0,78.11,0
347,27,F,EMEA,free,14,1,13.62,1
348,31,M,EMEA,free,30,5,11.96,0
349,24,F,NA,free,27,1,4.44,0
350,67,F,NA,pro,15,1,73.86,0
351,45,M,EMEA,free,45,2,17.14,1
352,42,F,LATAM,free,38,0,16.61,1
353,29,M,EMEA,pro,39,0,59.31,0
354,29,M,NA,pro,28,2,69.81,1
355,35,M,NA,free,19,1,10.55,0
356,59,F,LATAM,pro,9,1,66.67,0
357,52,F,APAC,free,46,1,10.23,0
358,40,F,NA,pro,13,1,87.6,0
359,33,F,APAC,free,19,1,17.28,0
360,50,M,APAC,free,46,2,,1
361,57,F,NA,pro,4,1,48.32,0
362,38,M,EMEA,pro,20,1,71.14,0
363,28,M,NA,pro,16,3,74.14,0
364,51,F,NA,pro,18,2,98.43,0
365,39,M,EMEA,free,1,2,13.02,1
366,58,M,APAC,free,32,0,4.53,1
367,20,M,NA,free,8,1,8.61,0
368,47,M,NA,free,24,2,12.56,0
369,54,M,APAC,free,47,1,6.13,1
370,50,F,NA,free,27,1,10.13,0
371,37,F,NA,free,42,1,11.82,0
372,51,F,APAC,free,30,1,19.72,1
373,44,F,EMEA,free,44,0,15.92,1
374,22,F,APAC,free,39,2,19.41,1
375,52,M,LATAM,free,36,0,20.9,1
376,26,F,NA,free,9,2,17.2,1
377,41,M,APAC,pro,11,1,78.88,0
378,43,F,NA,free,20,2,13.52,1
379,55,F,NA,pro,3,1,68.57,1
380,33,F,NA,pro,46,2,114.39,0
381,31,M,EMEA,free,19,1,8.79,1
382,52,M,APAC,free,23,2,11.77,0
383,66,F,NA,pro,45,1,68.98,0
384,43,M,EMEA,free,33,3,15.19,1
385,18,F,NA,pro,32,1,66.45,0
386,26,F,NA,pro,37,2,73.92,0
387,46,M,NA,free,24,3,9.1,1
388,60,F,LATAM,pro,21,2,91.8,0
389,35,M,NA,pro,26,2,101.28,1
390,23,M,EMEA,free,4,2,11.77,1
391,65,M,NA,pro,13,1,60.04,0
392,32,F,EMEA,free,4,0,17.68,1
393,21,M,NA,pro,8,2,64.25,1
394,56,M,EMEA,free,44,3,,0
395,54,F,NA,pro,28,2,51.08,0
396,26,M,EMEA,free,17,0,19.73,1
397,66,F,NA,free,12,3,22.56,1
398,33,M,APAC,free,32,0,14.39,0
399,25,F,NA,pro,17,2,120.05,0
400,63,M,NA,pro,39,2,62.76,1
401,62,M,APAC,free,5,3,14.71,1
402,41,F,EMEA,free,4,2,20.3,1
403,66,F,EMEA,free,27,1,9.55,1
404,56,M,EMEA,pro,15,3,74.83,1
405,47,M,EMEA,free,20,3,9.3,1
406,61,F,NA,pro,25,1,106.56,0
407,24,F,NA,pro,4,1,81.94,0
408,55,F,EMEA,free,13,1,20.63,1
409,37,F,APAC,free,18,2,27.35,1
410,33,F,NA,free,7,3,11.78,1
411,53,F,NA,pro,10,2,72.38,1
412,30,F,APAC,pro,46,4,73.55,1
413,37,M,EMEA,pro,28,0,72.97,0
414,56,F,NA,free,14,1,13.95,0
415,29,M,NA,free,39,2,20.28,1
416,65,M,APAC,free,16,1,19.41,0
417,36,F,NA,free,16,2,,1
418,38,F,APAC,pro,35,1,72.75,1
419,60,M,EMEA,free,14,1,,1
420,24,M,NA,pro,5,0,112.05,0
421,18,F,NA,pro,44,2,89.48,1
422,48,F,NA,pro,45,3,104.09,1
423,47,F,NA,pro,31,3,90.97,0
424,57,M,LATAM,pro,18,0,74.05,0
425,67,M,APAC,pro,6,1,48.88,1
426,53,F,APAC,free,13,1,17.13,1
427,60,F,LATAM,pro,41,1,88.28,0
428,44,F,NA,free,22,1,32.07,1
429,26,F,NA,free,41,2,19.5,0
430,58,F,APAC,free,10,0,9.29,1
431,26,M,APAC,pro,31,1,36.16,0
432,68,M,NA,pro,4,2,63.41,0
433,59,M,NA,free,37,4,5.93,1
434,56,M, emea ,free,21,4,11.34,1
435,28,F,NA,pro,39,1,100.08,0
436,69,F,NA,pro,38,0,92.26,1
437,26,F,NA,free,32,1,,0
438,43,M,APAC,free,31,3,8.63,1
439,69,F,EMEA,free,13,2,14.29,1
440,37,F,NA,free,5,2,14.51,0
441,40,M,NA,free,28,1,8.51,1
442,28,M,EMEA,free,5,0,26.6,1
443,45,M,EMEA,free,21,1,23.08,1
444,42,F,NA,pro,45,2,64.36,1
445,56,F,NA,pro,5,2,71.36,1
446,61,M,APAC,free,-1,1,6.69,0
447,19,F,EMEA,free,12,5,23.86,1
448,60,M,NA,free,44,2,23.44,1
449,28,M,APAC,pro,9,1,92.62,0
450,52,M,EMEA,free,4,0,18.13,1
451,38,F,EMEA,free,31,2,9.53,1
452,19,M, emea ,free,39,1,7.75,1
453,32,M,NA,free,8,1,18.76,0
454,57,M,EMEA,pro,30,3,89.24,1
455,46,M,NA,pro,18,1,65.16,1
456,38,M,EMEA,free,37,0,16.94,1
457,39,F,NA,pro,43,2,74.03,0
458,27,M,APAC,free,19,1,24.47,0
459,33,F,APAC,free,10,2,8.71,1
460,66,F,EMEA,free,19,1,14.85,0
461,35,F,EMEA,free,1,1,16.25,1
462,27,M,LATAM,pro,32,2,101.05,0
463,45,M,EMEA,pro,34,0,76.83,0
464,40,M,EMEA,pro,42,1,92.58,0
465,50,F,NA,free,15,0,12.78,0
466,51,M,EMEA,free,42,1,6.7,1
467,44,F,EMEA,free,6,4,10.95,1
468,51,F,APAC,free,13,2,26.16,1
469,47,F,LATAM,free,11,4,23.38,1
470,32,F,EMEA,free,29,0,,0
471,37,F,APAC,free,33,1,16.15,1
472,38,F,EMEA,pro,6,4,57.12,0
473,35,M,APAC,pro,37,1,74.2,0
474,40,F,NA,pro,45,3,78.81,0
475,19,M,APAC,free,29,1,16.24,0
476,42,F,NA,free,34,2,29.33,0
477,46,F,NA,free,32,3,18.25,0
478,61,F,EMEA,free,19,3,11.73,1
479,62,M,EMEA,free,4,0,26.98,1
480,69,F,EMEA,pro,17,2,77.88,0
481,53,M, emea ,pro,22,1,69.69,0
482,34,F,APAC,free,42,0,,0
483,22,F,EMEA,free,29,2,20.59,0
484,41,F,APAC,pro,26,1,73.69,0
485,26,F,LATAM,free,4,2,16.7,1
486,24,M,NA,free,41,1,14.39,0
487,35,M,NA,free,22,5,8.46,0
488,29,F,APAC,free,7,2,16.8,1
489,50,F,NA,free,20,6,8.67,1
490,45,F,NA,pro,-1,4,103.68,1
491,26,F,NA,free,1,3,15.06,1
492,62,F,NA,pro,17,4,63.7,0
493,46,F,NA,free,28,4,20.29,1
494,48,F,NA,pro,17,4,87.02,1
495,64,F,APAC,pro,37,1,94.61,0
496,35,M,EMEA,free,18,1,20.63,1
497,43,F,NA,free,20,3,24.31,1
498,37,F,APAC,pro,7,0,62.49,1
499,22,F,EMEA,free,9,1,19.0,1
500,41,M,NA,pro,32,3,103.53,0
501,30,M,EMEA,free,2,2,15.23,1
502,36,M,LATAM,free,12,3,7.76,1
503,31,F,NA,pro,20,2,103.0,0
504,59,F,NA,free,34,1,7.76,1
505,43,M,NA,pro,21,0,97.81,0
506,59,M,LATAM,free,24,3,20.85,1
507,47,M,NA,free,36,1,13.97,0
508,61,F,APAC,free,16,1,4.06,0
509,35,F,NA,free,30,3,12.83,1
510,25,F,APAC,free,4,0,12.26,1
511,29,F,EMEA,free,47,2,28.75,0
512,41,M,EMEA,free,46,2,18.24,1
513,48,F,EMEA,pro,30,1,94.6,0
514,50,F,EMEA,pro,47,1,73.95,0
515,49,M,EMEA,free,25,2,14.72,0
516,60,F,NA,pro,10,2,58.03,0
517,24,M,NA,pro,42,2,47.5,0
518,54,M,NA,free,22,0,8.64,1
519,58,M,EMEA,free,39,3,-0.15,1
520,61,M,APAC,pro,11,0,59.68,0
521,58,F,APAC,free,12,0,18.55,0
522,37,F,EMEA,free,-1,1,14.77,0
523,49,M,LATAM,pro,32,0,62.88,1
524,57,M,EMEA,pro,3,1,80.05,1
525,36,M,EMEA,free,5,1,20.46,1
526,39,M,LATAM,pro,14,1,94.72,0
527,36,F,EMEA,pro,47,0,77.41,1
528,39,M,NA,pro,46,1,67.61,1
529,31,M,EMEA,free,25,2,14.43,0
530,64,F,NA,free,26,1,21.41,1
531,49,M,APAC,free,7,2,12.74,1
532,42,M,EMEA,free,34,2,17.32,1
533,43,M,LATAM,free,20,1,17.05,1
534,51,M,APAC,free,30,3,7.33,1
535,36,M,EMEA,free,18,2,23.26,0
536,50,F,NA,free,41,2,4.22,0
537,32,F,LATAM,pro,44,3,83.26,1
538,28,M,NA,free,2,0,,0
539,43,F,APAC,pro,39,2,81.78,0
540,57,F,APAC,pro,13,1,102.19,0
541,41,F,NA,pro,19,3,91.82,0
542,23,M,NA,pro,17,1,64.27,1
543,49,M,NA,free,11,1,13.77,1
544,19,F,NA,free,2,0,,1
545,38,M,NA,pro,29,1,99.05,0
546,41,M,NA,pro,19,3,69.92,1
547,31,F,LATAM,free,4,2,18.36,1
548,19,M,NA,pro,36,3,64.73,0
549,64,F,NA,free,24,2,11.57,1
550,61,M,NA,free,42,2,14.94,0
551,21,F,APAC,free,45,1,-1.06,1
552,49,M,NA,free,26,1,14.25,1
553,40,M,EMEA,free,38,1,22.77,1
554,49,F,EMEA,pro,25,2,99.83,1
555,62,F,NA,free,5,1,21.14,1
556,57,F,NA,free,2,0,15.1,1
557,36,M,APAC,free,8,2,20.3,1
558,23,M,EMEA,free,20,2,9.99,1
559,55,M,LATAM,free,28,2,11.05,1
560,30,F,NA,free,10,2,16.37,1
561,29,F,NA,free,28,1,,0
562,21,F,NA,free,20,1,8.2,0
563,30,M,APAC,free,9,1,,1
564,44,M,EMEA,free,14,3,4.28,1
565,25,M,NA,pro,17,2,33.78,0
566,68,F,EMEA,free,15,1,7.11,1
567,25,F,NA,free,10,1,15.51,0
568,50,M,NA,free,15,2,22.02,1
569,28,M,EMEA,free,28,2,15.37,0
570,44,M,EMEA,free,28,1,13.87,1
571,37,M,APAC,free,19,3,13.46,1
572,36,M,EMEA,pro,38,2,69.4,0
573,21,M,APAC,free,24,2,7.55,1
574,56,F,LATAM,pro,23,1,101.87,0
575,32,M,APAC,free,33,4,10.17,1
576,57,M,EMEA,free,35,2,,0
577,23,M,LATAM,pro,33,3,88.16,0
578,61,F, emea ,pro,8,0,80.87,0
579,20,M,EMEA,pro,44,0,49.56,0
580,27,M,NA,free,30,2,22.28,0
581,46,F,LATAM,pro,11,2,94.54,0
582,25,F,EMEA,pro,25,2,82.68,1
583,33,F,APAC,free,36,1,20.98,0
584,22,M,NA,free,40,2,11.19,0
585,50,F,NA,pro,41,2,68.37,0
586,19,M,NA,free,20,2,18.88,1
587,45,F,APAC,pro,12,2,75.55,1
588,42,M,APAC,pro,1,2,121.72,1
589,61,M,EMEA,pro,38,0,51.48,0
590,26,F,EMEA,free,31,2,28.39,1
591,37,F,APAC,free,31,1,4.94,1
592,67,F,LATAM,free,12,0,,1
593,43,F,EMEA,free,31,1,18.15,0
594,63,M,EMEA,pro,26,2,87.15,1
595,40,F,NA,pro,33,1,84.67,0
596,29,M,EMEA,free,20,1,14.66,1
597,62,M,NA,free,34,2,12.86,0
598,31,M,NA,free,7,2,16.51,1
599,52,M,NA,free,20,0,21.39,0
600,37,M,NA,pro,27,3,67.82,0
601,20,F,EMEA,free,31,1,5.6,1
602,20,F,EMEA,free,1,2,13.15,1
603,25,F,NA,free,16,3,19.97,1
604,26,F,APAC,pro,11,2,99.64,0
605,30,F,EMEA,free,22,1,,1
606,56,M,EMEA,free,5,1,14.54,1
607,20,M,APAC,free,2,1,7.7,1
608,58,F,NA,free,45,2,20.33,0
609,32,M,LATAM,free,47,1,20.16,1
610,45,M,NA,pro,43,0,73.03,0
611,44,F,NA,pro,11,1,103.27,0
612,66,M,EMEA,free,19,0,9.77,0
613,60,F,APAC,free,31,0,12.55,1
614,40,F,NA,pro,41,1,112.96,0
615,67,M,EMEA,pro,40,1,74.65,0
616,36,F,APAC,free,24,2,7.04,1
617,48,M,EMEA,pro,46,1,50.16,0
618,33,M,EMEA,free,21,1,23.11,1
619,66,F,LATAM,pro,33,1,74.76,1
620,28,F,APAC,free,47,5,32.96,1
621,44,F,NA,pro,34,5,94.82,0
622,48,M,NA,pro,29,3,118.4,0
623,59,M,EMEA,free,36,0,19.71,1
624,69,F,EMEA,pro,7,0,85.74,0
625,42,M,APAC,free,1,3,15.47,1
626,21,F,NA,pro,11,1,78.73,1
